id,name,generation,height,weight,hp,attack,defense,special-attack,special-defense,speed,total,url_sprite,url_shadow_sprite
181,Ampharos,generation-ii,14,615,90,75,85,115,90,55,510,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/181.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/181.png?raw=true
182,Bellossom,generation-ii,4,58,75,80,95,90,100,50,490,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/182.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/182.png?raw=true
183,Marill,generation-ii,4,85,70,20,50,20,50,40,250,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/183.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/183.png?raw=true
184,Azumarill,generation-ii,8,285,100,50,80,60,80,50,420,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/184.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/184.png?raw=true
185,Sudowoodo,generation-ii,12,380,70,100,115,30,65,30,410,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/185.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/185.png?raw=true
186,Politoed,generation-ii,11,339,90,75,75,90,100,70,500,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/186.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/186.png?raw=true
187,Hoppip,generation-ii,4,5,35,35,40,35,55,50,250,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/187.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/187.png?raw=true
188,Skiploom,generation-ii,6,10,55,45,50,45,65,80,340,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/188.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/188.png?raw=true
189,Jumpluff,generation-ii,8,30,75,55,70,55,95,110,460,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/189.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/189.png?raw=true
190,Aipom,generation-ii,8,115,55,70,55,40,55,85,360,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/190.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/190.png?raw=true
191,Sunkern,generation-ii,3,18,30,30,30,30,30,30,180,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/191.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/191.png?raw=true
192,Sunflora,generation-ii,8,85,75,75,55,105,85,30,425,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/192.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/192.png?raw=true
193,Yanma,generation-ii,12,380,65,65,45,75,45,95,390,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/193.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/193.png?raw=true
194,Wooper,generation-ii,4,85,55,45,45,25,25,15,210,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/194.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/194.png?raw=true
195,Quagsire,generation-ii,14,750,95,85,85,65,65,35,430,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/195.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/195.png?raw=true
196,Espeon,generation-ii,9,265,65,65,60,130,95,110,525,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/196.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/196.png?raw=true
197,Umbreon,generation-ii,10,270,95,65,110,60,130,65,525,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/197.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/197.png?raw=true
198,Murkrow,generation-ii,5,21,60,85,42,85,42,91,405,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/198.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/198.png?raw=true
199,Slowking,generation-ii,20,795,95,75,80,100,110,30,490,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/199.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/199.png?raw=true
200,Misdreavus,generation-ii,7,10,60,60,60,85,85,85,435,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/200.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/200.png?raw=true
201,Unown,generation-ii,5,50,48,72,48,72,48,48,336,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/201.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/201.png?raw=true
202,Wobbuffet,generation-ii,13,285,190,33,58,33,58,33,405,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/202.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/202.png?raw=true
203,Girafarig,generation-ii,15,415,70,80,65,90,65,85,455,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/203.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/203.png?raw=true
204,Pineco,generation-ii,6,72,50,65,90,35,35,15,290,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/204.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/204.png?raw=true
205,Forretress,generation-ii,12,1258,75,90,140,60,60,40,465,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/205.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/205.png?raw=true
206,Dunsparce,generation-ii,15,140,100,70,70,65,65,45,415,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/206.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/206.png?raw=true
207,Gligar,generation-ii,11,648,65,75,105,35,65,85,430,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/207.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/207.png?raw=true
208,Steelix,generation-ii,92,4000,75,85,200,55,65,30,510,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/208.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/208.png?raw=true
209,Snubbull,generation-ii,6,78,60,80,50,40,40,30,300,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/209.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/209.png?raw=true
210,Granbull,generation-ii,14,487,90,120,75,60,60,45,450,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/210.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/210.png?raw=true
211,Qwilfish,generation-ii,5,39,65,95,85,55,55,85,440,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/211.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/211.png?raw=true
212,Scizor,generation-ii,18,1180,70,130,100,55,80,65,500,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/212.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/212.png?raw=true
213,Shuckle,generation-ii,6,205,20,10,230,10,230,5,505,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/213.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/213.png?raw=true
214,Heracross,generation-ii,15,540,80,125,75,40,95,85,500,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/214.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/214.png?raw=true
215,Sneasel,generation-ii,9,280,55,95,55,35,75,115,430,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/215.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/215.png?raw=true
216,Teddiursa,generation-ii,6,88,60,80,50,50,50,40,330,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/216.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/216.png?raw=true
217,Ursaring,generation-ii,18,1258,90,130,75,75,75,55,500,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/217.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/217.png?raw=true
218,Slugma,generation-ii,7,350,40,40,40,70,40,20,250,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/218.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/218.png?raw=true
219,Magcargo,generation-ii,8,550,60,50,120,90,80,30,430,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/219.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/219.png?raw=true
220,Swinub,generation-ii,4,65,50,50,40,30,30,50,250,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/220.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/220.png?raw=true
221,Piloswine,generation-ii,11,558,100,100,80,60,60,50,450,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/221.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/221.png?raw=true
222,Corsola,generation-ii,6,50,65,55,95,65,95,35,410,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/222.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/222.png?raw=true
223,Remoraid,generation-ii,6,120,35,65,35,65,35,65,300,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/223.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/223.png?raw=true
224,Octillery,generation-ii,9,285,75,105,75,105,75,45,480,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/224.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/224.png?raw=true
225,Delibird,generation-ii,9,160,45,55,45,65,45,75,330,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/225.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/225.png?raw=true
226,Mantine,generation-ii,21,2200,85,40,70,80,140,70,485,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/226.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/226.png?raw=true
227,Skarmory,generation-ii,17,505,65,80,140,40,70,70,465,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/227.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/227.png?raw=true
228,Houndour,generation-ii,6,108,45,60,30,80,50,65,330,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/228.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/228.png?raw=true
229,Houndoom,generation-ii,14,350,75,90,50,110,80,95,500,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/229.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/229.png?raw=true
230,Kingdra,generation-ii,18,1520,75,95,95,95,95,85,540,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/230.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/230.png?raw=true
231,Phanpy,generation-ii,5,335,90,60,60,40,40,40,330,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/231.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/231.png?raw=true
232,Donphan,generation-ii,11,1200,90,120,120,60,60,50,500,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/232.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/232.png?raw=true
233,Porygon2,generation-ii,6,325,85,80,90,105,95,60,515,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/233.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/233.png?raw=true
234,Stantler,generation-ii,14,712,73,95,62,85,65,85,465,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/234.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/234.png?raw=true
235,Smeargle,generation-ii,12,580,55,20,35,20,45,75,250,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/235.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/235.png?raw=true
236,Tyrogue,generation-ii,7,210,35,35,35,35,35,35,210,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/236.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/236.png?raw=true
237,Hitmontop,generation-ii,14,480,50,95,95,35,110,70,455,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/237.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/237.png?raw=true
238,Smoochum,generation-ii,4,60,45,30,15,85,65,65,305,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/238.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/238.png?raw=true
239,Elekid,generation-ii,6,235,45,63,37,65,55,95,360,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/239.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/239.png?raw=true
240,Magby,generation-ii,7,214,45,75,37,70,55,83,365,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/240.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/240.png?raw=true
241,Miltank,generation-ii,12,755,95,80,105,40,70,100,490,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/241.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/241.png?raw=true
242,Blissey,generation-ii,15,468,255,10,10,75,135,55,540,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/242.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/242.png?raw=true
243,Raikou,generation-ii,19,1780,90,85,75,115,100,115,580,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/243.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/243.png?raw=true
244,Entei,generation-ii,21,1980,115,115,85,90,75,100,580,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/244.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/244.png?raw=true
245,Suicune,generation-ii,20,1870,100,75,115,90,115,85,580,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/245.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/245.png?raw=true
246,Larvitar,generation-ii,6,720,50,64,50,45,50,41,300,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/246.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/246.png?raw=true
247,Pupitar,generation-ii,12,1520,70,84,70,65,70,51,410,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/247.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/247.png?raw=true
248,Tyranitar,generation-ii,20,2020,100,134,110,95,100,61,600,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/248.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/248.png?raw=true
249,Lugia,generation-ii,52,2160,106,90,130,90,154,110,680,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/249.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/249.png?raw=true
250,Ho-Oh,generation-ii,38,1990,106,130,90,110,154,90,680,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/250.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/250.png?raw=true
251,Celebi,generation-ii,6,50,100,100,100,100,100,100,600,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_II/251.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_II/251.png?raw=true
252,Treecko,generation-iii,5,50,40,45,35,65,55,70,310,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/252.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/252.png?raw=true
253,Grovyle,generation-iii,9,216,50,65,45,85,65,95,405,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/253.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/253.png?raw=true
254,Sceptile,generation-iii,17,522,70,85,65,105,85,120,530,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/254.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/254.png?raw=true
255,Torchic,generation-iii,4,25,45,60,40,70,50,45,310,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/255.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/255.png?raw=true
256,Combusken,generation-iii,9,195,60,85,60,85,60,55,405,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/256.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/256.png?raw=true
257,Blaziken,generation-iii,19,520,80,120,70,110,70,80,530,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/257.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/257.png?raw=true
258,Mudkip,generation-iii,4,76,50,70,50,50,50,40,310,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/258.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/258.png?raw=true
259,Marshtomp,generation-iii,7,280,70,85,70,60,70,50,405,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/259.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/259.png?raw=true
260,Swampert,generation-iii,15,819,100,110,90,85,90,60,535,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/260.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/260.png?raw=true
261,Poochyena,generation-iii,5,136,35,55,35,30,30,35,220,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/261.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/261.png?raw=true
262,Mightyena,generation-iii,10,370,70,90,70,60,60,70,420,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/262.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/262.png?raw=true
263,Zigzagoon,generation-iii,4,175,38,30,41,30,41,60,240,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/263.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/263.png?raw=true
264,Linoone,generation-iii,5,325,78,70,61,50,61,100,420,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/264.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/264.png?raw=true
265,Wurmple,generation-iii,3,36,45,45,35,20,30,20,195,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/265.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/265.png?raw=true
266,Silcoon,generation-iii,6,100,50,35,55,25,25,15,205,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/266.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/266.png?raw=true
267,Beautifly,generation-iii,10,284,60,70,50,100,50,65,395,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/267.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/267.png?raw=true
268,Cascoon,generation-iii,7,115,50,35,55,25,25,15,205,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/268.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/268.png?raw=true
269,Dustox,generation-iii,12,316,60,50,70,50,90,65,385,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/269.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/269.png?raw=true
270,Lotad,generation-iii,5,26,40,30,30,40,50,30,220,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/270.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/270.png?raw=true
271,Lombre,generation-iii,12,325,60,50,50,60,70,50,340,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/271.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/271.png?raw=true
272,Ludicolo,generation-iii,15,550,80,70,70,90,100,70,480,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/272.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/272.png?raw=true
273,Seedot,generation-iii,5,40,40,40,50,30,30,30,220,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/273.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/273.png?raw=true
274,Nuzleaf,generation-iii,10,280,70,70,40,60,40,60,340,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/274.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/274.png?raw=true
275,Shiftry,generation-iii,13,596,90,100,60,90,60,80,480,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/275.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/275.png?raw=true
276,Taillow,generation-iii,3,23,40,55,30,30,30,85,270,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/276.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/276.png?raw=true
277,Swellow,generation-iii,7,198,60,85,60,75,50,125,455,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/277.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/277.png?raw=true
278,Wingull,generation-iii,6,95,40,30,30,55,30,85,270,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/278.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/278.png?raw=true
279,Pelipper,generation-iii,12,280,60,50,100,95,70,65,440,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/279.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/279.png?raw=true
280,Ralts,generation-iii,4,66,28,25,25,45,35,40,198,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/280.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/280.png?raw=true
281,Kirlia,generation-iii,8,202,38,35,35,65,55,50,278,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/281.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/281.png?raw=true
282,Gardevoir,generation-iii,16,484,68,65,65,125,115,80,518,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/282.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/282.png?raw=true
283,Surskit,generation-iii,5,17,40,30,32,50,52,65,269,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/283.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/283.png?raw=true
284,Masquerain,generation-iii,8,36,70,60,62,100,82,80,454,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/284.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/284.png?raw=true
285,Shroomish,generation-iii,4,45,60,40,60,40,60,35,295,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/285.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/285.png?raw=true
286,Breloom,generation-iii,12,392,60,130,80,60,60,70,460,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/286.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/286.png?raw=true
287,Slakoth,generation-iii,8,240,60,60,60,35,35,30,280,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/287.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/287.png?raw=true
288,Vigoroth,generation-iii,14,465,80,80,80,55,55,90,440,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/288.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/288.png?raw=true
289,Slaking,generation-iii,20,1305,150,160,100,95,65,100,670,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_III/289.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_III/289.png?raw=true
